iter	Passed	Remaining
415	3431	4817
416	3437	4806
417	3444	4795
418	3450	4784
419	3456	4772
420	3462	4761
421	3468	4750
422	3473	4738
423	3480	4727
424	3486	4716
425	3492	4705
426	3498	4694
427	3504	4684
428	3511	4673
429	3517	4662
430	3523	4651
431	3529	4640
432	3535	4629
433	3541	4618
434	3547	4607
435	3553	4596
436	3559	4585
437	3564	4574
438	3571	4563
439	3577	4552
440	3583	4542
441	3589	4531
442	3595	4521
443	3601	4510
444	3608	4500
445	3614	4489
446	3620	4479
447	3626	4468
448	3633	4458
449	3639	4447
450	3645	4437
451	3651	4427
452	3658	4417
453	3664	4406
454	3670	4396
455	3676	4386
456	3682	4375
457	3688	4365
458	3695	4355
459	3701	4344
460	3707	4334
461	3713	4324
462	3719	4314
463	3725	4304
464	3732	4294
465	3738	4283
466	3744	4273
467	3751	4264
468	3757	4254
469	3763	4244
470	3770	4235
471	3778	4226
472	3784	4216
473	3791	4206
474	3797	4196
475	3803	4186
476	3809	4176
477	3815	4166
478	3821	4156
479	3828	4147
480	3834	4137
481	3840	4127
482	3852	4123
483	3865	4120
484	3878	4118
485	3893	4117
486	3908	4116
487	3920	4113
488	3933	4110
489	3946	4107
490	3958	4103
491	3971	4100
492	3984	4097
493	3996	4093
494	4009	4090
495	4021	4086
496	4034	4083
497	4047	4079
498	4059	4075
499	4071	4071
500	4084	4068
501	4096	4064
502	4109	4060
503	4122	4056
504	4134	4053
505	4147	4049
506	4160	4045
507	4173	4041
508	4185	4037
509	4198	4033
510	4210	4029
511	4222	4024
512	4235	4020
513	4248	4016
514	4260	4012
515	4273	4008
516	4287	4005
517	4301	4002
518	4314	3998
519	4327	3994
520	4339	3989
521	4351	3984
522	4363	3980
523	4376	3975
524	4389	3971
525	4403	3968
526	4416	3964
527	4430	3960
528	4442	3955
529	4455	3950
530	4467	3945
531	4479	3940
532	4491	3935
533	4503	3930
534	4516	3925
535	4528	3920
536	4540	3914
537	4552	3909
538	4565	3904
539	4577	3899
540	4589	3893
541	4601	3888
542	4613	3883
543	4626	3877
544	4638	3872
545	4650	3866
546	4663	3862
547	4675	3856
548	4688	3851
549	4700	3846
550	4713	3840
551	4725	3835
552	4739	3831
553	4752	3825
554	4765	3820
555	4777	3815
556	4789	3809
557	4802	3804
558	4816	3800
559	4831	3795
560	4844	3790
561	4856	3785
562	4869	3779
563	4882	3774
564	4894	3768
565	4907	3763
566	4920	3757
567	4933	3752
568	4947	3747
569	4960	3741
570	4973	3736
571	4985	3730
572	4998	3724
573	5010	3718
574	5023	3713
575	5035	3706
576	5048	3701
577	5060	3695
578	5073	3688
579	5085	3682
580	5098	3676
581	5110	3670
582	5122	3664
583	5135	3657
584	5147	3651
585	5159	3645
586	5172	3639
587	5184	3632
588	5197	3626
589	5209	3620
590	5222	3614
591	5234	3607
592	5247	3601
593	5259	3595
594	5272	3588
595	5284	3582
596	5297	3575
597	5309	3569
598	5322	3563
599	5335	3556
600	5350	3551
601	5364	3546
602	5376	3539
603	5388	3532
604	5401	3526
605	5415	3520
606	5423	3511
607	5430	3501
608	5437	3491
609	5444	3480
610	5450	3470
611	5456	3459
612	5462	3448
613	5468	3437
614	5474	3427
615	5480	3416
616	5485	3405
617	5491	3394
618	5497	3383
619	5502	3372
620	5508	3361
621	5513	3350
622	5519	3339
623	5524	3329
624	5530	3318
625	5535	3307
626	5541	3296
627	5546	3285
628	5552	3274
629	5558	3264
630	5563	3253
631	5569	3242
632	5574	3232
633	5580	3221
634	5585	3210
635	5591	3200
636	5597	3189
637	5602	3179
638	5608	3168
639	5614	3157
640	5619	3147
641	5625	3136
642	5630	3126
643	5636	3115
644	5642	3105
645	5647	3094
646	5653	3084
647	5659	3074
648	5664	3063
649	5670	3053
650	5676	3043
651	5682	3032
652	5687	3022
653	5694	3012
654	5701	3003
655	5709	2993
656	5716	2984
657	5724	2975
658	5731	2965
659	5738	2956
660	5746	2947
661	5753	2937
662	5759	2927
663	5766	2917
664	5772	2907
665	5778	2898
666	5784	2888
667	5791	2878
668	5797	2868
669	5803	2858
670	5809	2848
671	5816	2838
672	5822	2828
673	5828	2819
674	5834	2809
675	5841	2799
676	5847	2790
677	5854	2780
678	5860	2770
679	5868	2761
680	5875	2752
681	5882	2742
682	5888	2732
683	5894	2723
684	5901	2713
685	5907	2703
686	5913	2694
687	5919	2684
688	5926	2674
689	5932	2665
690	5938	2655
691	5944	2645
692	5950	2636
693	5957	2626
694	5963	2617
695	5970	2607
696	5976	2597
697	5981	2588
698	5988	2578
699	5996	2569
700	6003	2560
701	6009	2551
702	6016	2541
703	6022	2531
704	6028	2522
705	6034	2512
706	6040	2503
707	6046	2493
708	6052	2484
709	6059	2474
710	6065	2465
711	6072	2456
712	6078	2446
713	6085	2437
714	6091	2428
715	6098	2418
716	6105	2409
717	6113	2401
718	6119	2391
719	6126	2382
720	6132	2373
721	6139	2363
722	6145	2354
723	6152	2345
724	6158	2336
725	6165	2326
726	6171	2317
727	6178	2308
728	6184	2299
729	6191	2289
730	6197	2280
731	6204	2271
732	6210	2262
733	6217	2253
734	6223	2243
735	6231	2235
736	6241	2227
737	6251	2219
738	6261	2211
739	6273	2204
740	6281	2195
741	6287	2186
742	6294	2177
743	6301	2168
744	6307	2159
745	6314	2149
746	6320	2140
747	6327	2131
748	6334	2122
749	6340	2113
750	6346	2104
751	6353	2095
752	6360	2086
753	6366	2077
754	6374	2068
755	6382	2059
756	6388	2050
757	6394	2041
758	6401	2032
759	6407	2023
760	6413	2014
761	6420	2005
762	6427	1996
763	6434	1987
764	6440	1978
765	6447	1969
766	6453	1960
767	6459	1951
768	6466	1942
769	6472	1933
770	6480	1924
771	6487	1916
772	6494	1907
773	6500	1898
774	6506	1889
775	6513	1880
776	6519	1871
777	6525	1862
778	6532	1853
779	6539	1844
780	6545	1835
781	6553	1826
782	6559	1817
783	6565	1808
784	6572	1799
785	6577	1790
786	6584	1782
787	6590	1773
788	6596	1764
789	6602	1755
790	6608	1746
791	6614	1737
792	6621	1728
793	6627	1719
794	6634	1710
795	6641	1701
796	6647	1693
797	6653	1684
798	6660	1675
799	6666	1666
800	6672	1657
801	6679	1648
802	6686	1640
803	6693	1631
804	6699	1622
805	6706	1614
806	6713	1605
807	6721	1597
808	6728	1588
809	6734	1579
810	6741	1571
811	6747	1562
812	6754	1553
813	6760	1544
814	6767	1536
815	6773	1527
816	6780	1518
817	6787	1510
818	6793	1501
819	6800	1492
820	6806	1484
821	6813	1475
822	6819	1466
823	6826	1458
824	6832	1449
825	6839	1440
826	6845	1432
827	6851	1423
828	6858	1414
829	6865	1406
830	6871	1397
831	6878	1389
832	6886	1380
833	6894	1372
834	6900	1363
835	6907	1355
836	6914	1346
837	6921	1338
838	6928	1329
839	6935	1320
840	6941	1312
841	6948	1303
842	6955	1295
843	6962	1286
844	6969	1278
845	6975	1269
846	6983	1261
847	6991	1253
848	6998	1244
849	7005	1236
850	7012	1227
851	7018	1219
852	7025	1210
853	7032	1202
854	7039	1193
855	7045	1185
856	7052	1176
857	7059	1168
858	7065	1159
859	7072	1151
860	7078	1142
861	7085	1134
862	7092	1125
863	7099	1117
864	7105	1108
865	7112	1100
866	7118	1092
867	7125	1083
868	7131	1075
869	7138	1066
870	7144	1058
871	7150	1049
872	7157	1041
873	7163	1032
874	7170	1024
875	7176	1015
876	7182	1007
877	7188	998
878	7194	990
879	7200	981
880	7207	973
881	7213	965
882	7220	956
883	7226	948
884	7233	939
885	7239	931
886	7246	923
887	7252	914
888	7258	906
889	7265	897
890	7271	889
891	7287	882
892	7303	875
893	7318	867
894	7330	860
895	7343	852
896	7356	844
897	7368	836
898	7381	829
899	7395	821
900	7409	814
901	7423	806
902	7435	798
903	7448	790
904	7461	783
905	7473	775
906	7485	767
907	7499	759
908	7513	752
909	7527	744
910	7540	736
911	7552	728
912	7565	720
913	7578	713
914	7590	705
915	7603	697
916	7615	689
917	7628	681
918	7639	673
919	7652	665
920	7665	657
921	7678	649
922	7690	641
923	7703	633
924	7715	625
925	7727	617
926	7739	609
927	7752	601
928	7764	593
929	7776	585
930	7789	577
931	7801	569
932	7813	561
933	7825	553
934	7838	544
935	7850	536
936	7863	528
937	7876	520
938	7888	512
939	7901	504
940	7913	496
941	7928	488
942	7941	480
943	7954	471
944	7966	463
945	7978	455
946	7991	447
947	8003	438
948	8015	430
949	8028	422
950	8044	414
951	8057	406
952	8069	397
953	8082	389
954	8094	381
955	8106	373
956	8119	364
957	8131	356
958	8144	348
959	8157	339
960	8174	331
961	8186	323
962	8199	315
963	8212	306
964	8224	298
965	8237	289
966	8249	281
967	8262	273
968	8274	264
969	8287	256
970	8299	247
971	8309	239
972	8315	230
973	8321	222
974	8327	213
975	8333	204
976	8338	196
977	8344	187
978	8349	179
979	8355	170
980	8361	161
981	8366	153
982	8372	144
983	8377	136
984	8383	127
985	8389	119
986	8394	110
987	8400	102
988	8405	93
989	8412	84
990	8419	76
991	8424	67
992	8430	59
993	8436	50
994	8442	42
995	8447	33
996	8453	25
997	8458	16
998	8464	8
999	8470	0
