iter	Logloss
0	0.67504366
1	0.6579903069
2	0.6433495963
3	0.6286200248
4	0.6152405415
5	0.6041477363
6	0.5914157411
7	0.5799591698
8	0.5701823986
9	0.5605638865
10	0.5525751926
11	0.5443485556
12	0.537581712
13	0.5299842581
14	0.5240447131
15	0.5181671089
16	0.5125152718
17	0.5066841745
18	0.5013418293
19	0.4966456331
20	0.4924770892
21	0.488269874
22	0.4850558281
23	0.4812689372
24	0.477965531
25	0.4748583221
26	0.4715297541
27	0.4688054036
28	0.4663282977
29	0.4639931748
30	0.4618436833
31	0.4594786562
32	0.4572654055
33	0.4550072896
34	0.45310268
35	0.4513081785
36	0.449617917
37	0.4481119618
38	0.4465101921
39	0.4450628875
40	0.4438239506
41	0.4426267794
42	0.4410703568
43	0.4400805398
44	0.4388619398
45	0.4377671122
46	0.4367149492
47	0.4356254907
48	0.4347763026
49	0.4336542441
50	0.4325979009
51	0.4318611581
52	0.4309866322
53	0.4302349131
54	0.4296102811
55	0.4288795937
56	0.4280148671
57	0.427163664
58	0.4264298099
59	0.4258985254
60	0.4251888373
61	0.4246044501
62	0.4240211975
63	0.4234650113
64	0.4229818168
65	0.4225133325
66	0.4220363136
67	0.4216357763
68	0.4212929834
69	0.420926663
70	0.4205698595
71	0.4201369039
72	0.4196012397
73	0.4192697376
74	0.4188703237
75	0.4185736693
76	0.4180793047
77	0.4177418072
78	0.4173642123
79	0.4172797537
80	0.4169020802
81	0.4165631623
82	0.4161930627
83	0.4158813335
84	0.4157834996
85	0.4155976407
86	0.4153324077
87	0.4149657351
88	0.4147810951
89	0.4145954495
90	0.414504051
91	0.4142608353
92	0.4140689112
93	0.4137679503
94	0.4135596124
95	0.4134019953
96	0.4131238778
97	0.4128165789
98	0.4125270753
99	0.4122412697
100	0.4119113104
101	0.4116918966
102	0.4114235587
103	0.4111685834
104	0.4109339425
105	0.4107515121
106	0.4105083976
107	0.4102916301
108	0.4100447335
109	0.4097135866
110	0.4095594177
111	0.4093778157
112	0.4092156873
113	0.4089878993
114	0.408816561
115	0.4086816167
116	0.4085032718
117	0.4082271459
118	0.4079521211
119	0.4076923995
120	0.4074432774
121	0.4073072603
122	0.4072773825
123	0.407128251
124	0.4069990693
125	0.4068099174
126	0.4066018467
127	0.4064939235
128	0.4063845768
129	0.4062727799
130	0.4060838914
131	0.4059861445
132	0.4058084528
133	0.4056584799
134	0.4055467075
135	0.4055021364
136	0.4053479513
137	0.4052548183
138	0.4050620478
139	0.4049930806
140	0.4048712268
141	0.4047157211
142	0.4045256129
143	0.4044837071
144	0.4044253906
145	0.4042581071
146	0.4041257957
147	0.4040439885
148	0.4039153504
149	0.4037756341
150	0.4035584716
151	0.4034924305
152	0.4034400219
153	0.4033797977
154	0.4033340738
155	0.403271042
156	0.4031623905
157	0.4030725099
158	0.4029674925
159	0.4028031119
160	0.4026758245
161	0.402526168
162	0.4024382702
163	0.4023475691
164	0.402258818
165	0.4021731275
166	0.4020696912
167	0.4019376915
168	0.4018377995
169	0.4017115173
170	0.401641569
171	0.40154593
172	0.4015292117
173	0.4014581449
174	0.4013811608
175	0.4013259074
176	0.4011366546
177	0.401034311
178	0.400955516
179	0.4009066172
180	0.4008400492
181	0.4007811485
182	0.4006785736
183	0.4005996522
184	0.4005308159
185	0.4004548222
186	0.4003931438
187	0.4002786873
188	0.4001642938
189	0.4000670408
190	0.4000349651
191	0.3999170858
192	0.3998210094
193	0.3996819364
194	0.3995684576
195	0.3995127624
196	0.3994462963
197	0.3993792227
198	0.3992348367
199	0.3991879817
200	0.3991357858
201	0.3991121921
202	0.3989638583
203	0.3989006903
204	0.3987823365
205	0.3986654492
206	0.3985914285
207	0.3984882223
208	0.3984475011
209	0.3983503121
210	0.398284719
211	0.3982562792
212	0.3982442898
213	0.3981473279
214	0.3980496094
215	0.3979961305
216	0.3978925495
217	0.3978253113
218	0.3976781718
219	0.39761414
220	0.3975731859
221	0.3975374197
222	0.3974629321
223	0.3974135458
224	0.3973177446
225	0.3972643517
226	0.3971972792
227	0.3970765569
228	0.3970382026
229	0.3970079618
230	0.3968974115
231	0.3968501514
232	0.3967824144
233	0.3966829823
234	0.3966787646
235	0.396643976
236	0.3965624357
237	0.3965078183
238	0.3964975901
239	0.3964004577
240	0.3963665956
241	0.3963203217
242	0.3963124985
243	0.3963089207
244	0.3962546833
245	0.3962465788
246	0.3961700917
247	0.3960866875
248	0.3960172962
249	0.3959456924
250	0.3958419237
251	0.3957772742
252	0.3957550933
253	0.3956892242
254	0.3955739767
255	0.3955416211
256	0.3954644856
257	0.3954439583
258	0.3953928216
259	0.3953266853
260	0.3953217169
261	0.3952609397
262	0.3950984741
263	0.3950224749
264	0.3949800736
265	0.3949234601
266	0.394894323
267	0.3947849019
268	0.3947037461
269	0.3946270911
270	0.3945810572
271	0.394471631
272	0.394461767
273	0.3943881926
274	0.3943177474
275	0.3942294122
276	0.3941700626
277	0.3940363284
278	0.39396216
279	0.3938829011
280	0.3938714673
281	0.3937618686
282	0.3937479396
283	0.3936697247
284	0.3936625939
285	0.3935969837
286	0.393521293
287	0.3934591144
288	0.3933933602
289	0.3933226791
290	0.3932811166
291	0.3932193675
292	0.3931121531
293	0.3930898822
294	0.3930860952
295	0.3930744602
296	0.3930329658
297	0.392993506
298	0.3929683381
299	0.3929312237
300	0.3929051816
301	0.3928476336
302	0.3928018488
303	0.3927274165
